Rank,NOC,Gold,Silver,Bronze,Total
1,Norway (NOR),14,14,11,24.666666666666668
2,Germany (GER),14,10,7,21.333333333333332
3,Canada (CAN),11,8,10,18.333333333333332
4,United States (USA),9,8,6,15.0
5,Netherlands (NED),8,6,6,13.0
6,Sweden (SWE),7,6,14,14.666666666666668
7,South Korea (KOR),5,8,4,10.333333333333334
8,Switzerland (50),5,6,4,9.333333333333334
9,France (FRA),5,4,6,9.0
10,Austria (AUT),5,3,6,8.5
11,Japan (JPN),4,5,4,7.833333333333333
12,Italy (ITA),3,2,5,5.666666666666667
13,Olympic Athletes from Russia (OAR),2,6,9,8.0
14,Czech Republic (CZE),2,2,3,4.0
15,Belarus (BLR),2,1,0,2.5
16,China (CHN),1,6,2,4.666666666666667
17,Slovakia (SVK),1,2,0,2.0
18,Finland (FIN),1,1,4,2.833333333333333
19,Great Britain (GBR),1,0,4,2.333333333333333
20,Poland (POL),1,0,1,1.3333333333333333
21,Hungary (HUN),1,0,0,1.0
22,Ukraine (UKR),1,0,0,1.0
23,Australia (AUS),0,2,1,1.3333333333333333
24,Slovenia (SLO),0,1,1,0.8333333333333333
25,Belgium (BEL),0,1,0,0.5
